abandon; bỏ rơi, ruồng bỏ
sacrosanct; quan trọng đến nỗi không thể thay đổi được, bất khả xâm phạm
sally; câu nhận xét hài hước
sanctimonious; tỏ ra cao đạo, tỏ ra mộ đạo
sanction; sự phê chuẩn
sanctuary; khu bảo tồn
sanguine; lạc quan, đầy hi vọng
scatter; tung, rải, rắc, gieo
scintilla; một lượng rất nhỏ, một chút
scorn; sự khinh bỉ, sự khinh miệt, sự khinh rẻ
scribble; viết chữ nguệch ngoạc, viết cẩu thả, viết vội vàng
scrutinize; xem xét kĩ lưỡng 
seclude; tách biệt 
secular; trường kỳ, muôn thuở
seek; tìm kiếm
serene; yên lặng, thanh bình
severe; khắt khe, gay gắt
sheer; chỉ là, đúng là, tuyệt đối
shroud; che đậy
sinecure; công việc nhàn rỗi 
sinister; có vẻ ác, có vẻ nguy hiểm
skepticism; sự hoài nghi 
slovenly; cẩu thả, lôi thôi 
solidarity; sự đoàn kết, thống nhất
solitary; diễn ra một mình
sophisticate; người thời lưu, người hiểu đời và nắm được xu thế văn hóa xã hội
sordid; hèn mọn
span; quãng thời gian
specimen; mẫu, mẫu vật
spectacular; ngoạn mục
spectrum; quang phổ
speculation; sự suy đoán
spontaneous; ngẫu hứng, tự phát
sporadic; không thường xuyên, không đều đặn
spurn; từ chối, hắt hủi
stagnant; tù đọng
static; không chuyển động, không thay đổi
statistics; số liệu thống kê
stigma; vết nhơ, điều sỉ nhục
stimulate; kích thích, khuyến khích
stipulate; quy định
stoic; người khắc kỷ (có thể chịu khổ mà không phàn nàn hoặc biểu lộ cảm xúc)
strenuous; đòi hỏi cố gắng lớn, vất vả
stringent; nghiêm ngặt
stumble; vấp phải
stupendous; rất to lớn, rất quan trọng, vô cùng to lớn
sturdy; cứng cáp, vững chắc
subdue; chinh phục, khuất phục
sublime; siêu phàm, tuyệt vời
subside; giảm bớt, lắng xuống
subsidy; tiền trợ cấp 
substantial; lớn, quan trọng 
subtle; khó thấy, không dễ phát hiện
sufficient; đủ, dùng đủ(cho một việc hay mục đích nào đó)
sultry; oi bức, ngột ngạt
supernatural; siêu nhiên
surpass; hơn, vượt qua
surveillance; sự giám sát, sự theo dõi cẩn thận
suspend; tạm ngừng, đình chỉ
suspicious; đầy nghi ngờ 
swift; mau, nhanh, lẹ
sympathetic; cảm thông
tangible; hữu hình, có thể nhìn thấy được
tantamount; tương đương với, có giá trị như, ngang với
taunt; khiêu khích
temerity; sự táo bạo, sự liều lĩnh
temperate; có chừng mực, ôn hòa
temporal; duy vật
temporize; hoãn quyết định, hoãn trả lời dứt khoát, trì hoãn
tender; âu yếm, dịu dàng
tenet; nguyên lý, giáo lý, chủ nghĩa
tentative; tạm thời
tenuous; yếu ớt, không chắc chắn
thermal; thuộc về nhiệt
threshold; (nghĩa bóng) ngưỡng cửa 
thrive; phát triển mạnh
topography; đại thế, địa hình
trait; đức tính
tranquil; tĩnh lặng
transform; thay đổi hình dạng của cái gì
transgress; vi phạm, vượt quá (giới hạn...) 
trauma; chấn thương tâm lí, tổn thương
tremulous; run(vì hốt hoảng, yếu đuối) 
trigger; gây ra một cách đột ngột
triumph; thành tựu, chiến thắng 
trivial; tầm thường, không đáng kể, ít quan trọng
turgid; cương, sưng, phồng lên
turmoil; sự rối loạn, tình trạng hỗn loạn
ubiquitous; đầy rẫy, nơi nơi, nhan nhản
unauthorized; không được phép, trái phép
unbiased; công bằng, không thiên vị
uncalled for; không đúng lúc, đúng chỗ
uncanny; kỳ lạ, khó hiểu
uncouth; thô lỗ, bất lịch sự 
undergo; trải qua
undertake; đảm nhận, đảm trách 
unquenchable; không thoả mãn được, không thể làm cho nguôi, không thể nén (dục vọng, tình cảm..)
untenable; không thể cãi được
unveil; tuyên bố công khai, để lộ, tiết lộ
uphold; ủng hộ, duy trì
utilitarian; mang tính hữu dụng, thiết thực
utilize; dùng, sử dụng, tận dụng
utter; hoàn toàn, tuyệt đối
vague; mơ hồi
vain; vô ích, không có kết quả
valid; có giá trị, có hiệu lực, hợp lệ
vandalize; có chủ ý phá hoại, có chủ ý làm hư hỏng (tài sản công cộng..) 
vanish; biến mất
vanquish; đánh bại hoàn toàn 
variable; có thể thay đổi, khả biến
vast; rất lớn (diện tích, kích cỡ, lượng... )
venture; liều, mạo hiểm, cả gan
versatile; đa tài, đa năng
vestige; dấu vết, vết tích 
vigorous; mãnh liệt, đầy sinh lực
violate; vi phạm, xâm phạm
virtual; thực sự 
vital; thiết yếu, quan trọng, sống còn
vivid; sinh động
wary; thận trọng, cảnh giác 
widespread; được lan rộng
withhold; giữ lại, từ chối không cho
withstand; trụ lại, giữ vững
wretched; khốn khổ, rất bất hạnh, đáng thương 
yield; sản xuất, làm ra, mang lại (kết quả, lợi nhuận, thu hoạch)
zenith; điểm cao nhất, đỉnh cao
