.
1. Contracts; Hợp đồng
brand /brænd/, /brænd/;  nhãn hiệu, nhãn hàng, chi nhánh
conform /ˈfɔːm/, /ˈfɔːrm/;  làm cho phù hợp, làm cho thích hợp
defect /ˈdiːfekt/, /ˈdiːfekt/;  nhược điểm, khuyết điểm
enhance /ˈhɑːns/, /ˈhæns/;  nâng cao, tăng cường
garment /ˈɡɑːmənt/, /ˈɡɑːrmənt/;  quần áo
inspect /ɪnˈspekt/, /ɪnˈspekt/;  thanh tra, kiểm tra, xem xét kỹ
perceptive /pəˈseptɪv/, /pərˈseptɪv/;  nhận thức được, cảm giác được, cảm thụ được
repel /rɪˈpel/, /rɪˈpel/;  chống lại, đẩy lùi
take back; rút lại, lấy lại, kéo lại
throw out; vứt bỏ, bỏ đi, đuổi đi
uniformly /ˈjuːnɪfɔːmli/, /ˈjuːnɪfɔːrmli/;  đồng đều thống nhất, không thay đổi
wrinkle /ˈrɪŋkl/, /ˈrɪŋkl/;  nếp nhăn, nhàu

29. Product development; Phát triển sản phẩm
anxious /ˈæŋkʃəs/, /ˈæŋkʃəs/;  lo âu, băn khoăn
ascertain /ˌæsəˈteɪn/, /ˌæsərˈteɪn/;  biết chắc, xác định rõ ràng, tìm hiểu chắc chắn
assume /əˈsjuːm/, /əˈsuːm/;  giả sử, cho rằng
decade /ˈdekeɪd/, /ˈdekeɪd/;  thập niên, thập kỷ
examine /ɪɡˈzæmɪn/, /ɪɡˈzæmɪn/;  khám xét, xem xét, khảo sát
experiment /ɪkˈsperɪmənt/, /ɪkˈsperɪmənt/;  cuộc thí nghiệm, sự thí nghiệm
logical /ˈlɒdʒɪkl/, /ˈlɑːdʒɪkl/;  hợp lý, hợp với lôgic, theo lôgic
research /rɪˈsɜːtʃ/, /ˈriːsɜːtʃ/;  sự nghiên cứu
responsibility /ˌspɒnsəˈbɪləti/, /ˌspɑːnsəˈbɪləti/;  trách nhiệm, bổn phận
solve /sɒlv/, /sɑːlv/;  giải, giải quyết, làm sáng tỏ
supervisor /ˈsuːpəvaɪzə(r)/, /ˈsjuːpəvaɪzə(r)/;  người giám sát
systematically /kli/, /kli/;  có hệ thống, có phương pháp

30. Renting and leasing; Thuê và cho thuê
apprehensive /ˌæprɪˈhensɪv/, /ˌæprɪˈhensɪv/;  sợ hãi, e sợ
circumstance /ˈsɜːkəmstəns/, /stɑːns/;  trường hợp, hoàn cảnh, tình huống
condition /kənˈdɪʃn/, /kənˈdɪʃn/;  điều kiện, hoàn cảnh
due to; bởi, vì, do, tại
fluctuate /ˈflʌktʃueɪt/, /ˈflʌktʃueɪt/;  dao động, lên xuống, thay đổi thất thường
get out of; từ bỏ, rời bỏ, tránh né
indicator /ˈɪndɪkeɪtə(r)/, /ˈɪndɪkeɪtər/;  chỉ thị
lease /liːs/, /liːs/;  hợp đồng cho thuê
lock into; nhốt, giam
occupy /ˈɒkjupaɪ/, /ˈɑːkjupaɪ/;  sở hữu, chiếm hữu, chiếm giữ
option /ˈɒpʃn/, /ˈɑːpʃn/;  sự lựa chọn, quyền lựa chọn
subject to; lệ thuộc vào, tùy theo, tuân thủ

31. Selecting a restaurant; Lựa chọn nhà hàng
appeal /əˈpiːl/, /əˈpiːl/;  lời kêu gọi, cầu khẩn
arrive /əˈraɪv/, /əˈraɪv/;  đến, đi đến, tới nơi
compromise /ˈkɒmprəmaɪz/, /ˈkɑːmprəmaɪz/;  thỏa hiệp, dàn xếp
daringly /ˈdeərɪŋli/, /ˈderɪŋli/;  táo bạo, phiêu lưu, dũng cảm
familiar /fəˈmɪliə(r)/, /fəˈmɪliər/;  quen, quen thuộc, thân thuộc
guide /ɡaɪd/, /ɡaɪd/;  người hướng dẫn, người chỉ dẫn
majority /məˈdʒɒrəti/, /ˈdʒɔːrəti/;  đa số, phần lớn
mix /mɪks/, /mɪks/;  trộn lẫn, pha lẫn
rely /rɪˈlaɪ/, /rɪˈlaɪ/;  dựa vào, tin cậy vào
secure /sɪˈkjʊə(r)/, /sɪˈkjʊr/;  an toàn, an ninh, bảo đảm
subjective /səbˈdʒektɪv/, /səbˈdʒektɪv/;  chủ quan
suggestion /səˈdʒestʃən/, /səˈdʒestʃən/;  đề nghị, ý kiến, sự gợi ý

32. Eating out; Đi ăn tiệm
basic /ˈbeɪsɪk/, /ˈbeɪsɪk/;  cơ bản, cơ sở
complete /kəmˈpliːt/, /kəmˈpliːt/;  đầy đủ, trọn vẹn, hoàn thành
excite /ɪkˈsaɪt/, /ɪkˈsaɪt/;  kích thích, kích động, khuấy động
flavor; mùi vị, hương vị
forget /fəˈɡet/, /fərˈɡet/;  quên
ingredient /ɪnˈɡriːdiənt/, /ɪnˈɡriːdiənt/;  thành phần, thành tố, phần hợp thành
judge /dʒʌdʒ/, /dʒʌdʒ/;  đánh giá
mix - up; sự lộn xộn
patron /ˈpeɪtrən/, /ˈpeɪtrən/;  khách hàng quen
predict /prɪˈdɪkt/, /prɪˈdɪkt/;  dự đoán, dự báo, tiên tri
randomly /ˈrændəmli/, /ˈrændəmli/;  ngẫu nhiên, tình cờ
remind /rɪˈmaɪnd/, /rɪˈmaɪnd/;  nhắc nhở, làm nhớ lại

33. Ordering lunch; Đặt ăn trưa
burden /ˈbɜːdn/, /ˈbɜːrdn/;  gánh nặng
commonly /ˈkɒmənli/, /ˈkɑːmənli/;  thường thường, bình thường
delivery /dɪˈlɪvəri/, /dɪˈlɪvəri/;  phân phát, giao, chuyển
elegance /ˈelɪɡəns/, /ˈelɪɡəns/;  thanh lịch, tao nhã
fall to; bắt đầu vào việc, bắt tay vào việc
impress /ɪmˈpres/, /ɪmˈpres/;  gây ấn tượng
individual /ˌɪndɪˈvɪdʒuəl/, /ˌɪndɪˈvɪdʒuəl/;  cá nhân, riêng, riêng lẻ
list /lɪst/, /lɪst/;  danh sách, bản kê khai
multiple /ˈmʌltɪpl/, /ˈmʌltɪpl/;  nhiều, phức tạp
narrow /rəʊ/, /roʊ/;  chật, hẹp
pick up; đón (ai đó) 
settle /ˈsetl/, /ˈsetl/;  giải quyết, hòa giải, dàn xếp

34. Cooking as a career; Nghề nấu ăn 
accustom to; làm cho quen, tập cho quen
apprentice /əˈprentɪs/, /əˈprentɪs/;  người học việc, người tập sự
culinary /nəri/, /neri/;  (thuộc) nấu nướng, bếp núc
demand /dɪˈmɑːnd/, /dɪˈmænd/;  đòi hỏi, yêu cầu
draw /drɔː/, /drɔː/;  lôi kéo, thu hút, lôi cuốn
incorporate /ˈkɔːpəreɪt/, /ˈkɔːrpəreɪt/;  sáp nhập, hợp nhất
influx /ˈɪnflʌks/, /ˈɪnflʌks/;  sự chảy vào
method /ˈmeθəd/, /ˈmeθəd/;  phương pháp, cách thức
outlet /ˈaʊtlet/, /ˈaʊtlet/;  chỗ thoát ra, lối ra, lối thoát
profession /prəˈfeʃn/, /prəˈfeʃn/;  nghề, nghề nghiệp
relinquish /rɪˈlɪŋkwɪʃ/, /rɪˈlɪŋkwɪʃ/;  bỏ, từ bỏ
theme /θiːm/, /θiːm/;  đề tài, chủ đề

35. Events; Sự kiện
assist /əˈsɪst/, /əˈsɪst/;  giúp, giúp đỡ, trợ giúp
co-ordinate; phối hợp, kết hợp
dimension /daɪˈmenʃn/, /daɪˈmenʃn/;  kích thước, cỡ, khổ
exact /ɪɡˈzækt/, /ɪɡˈzækt/;  chính xác
general /ˈdʒenrəl/, /ˈdʒenrəl/;  chung chung, tổng quát
ideally /aɪˈdiːəli/, /aɪˈdiːəli/;  lý tưởng, theo lý tưởng
lead time; khoảng thời gian ở giữa sự bắt đầu và sự hoàn thành của một quá trình
plan /plæn/, /plæn/;  kế hoạch, đồ á
proximity /prɒkˈsɪməti/, /prɑːkˈsɪməti/;  sự gần gũi
regulate /ˈreɡjuleɪt/, /ˈreɡjuleɪt/;  điều chỉnh, chỉnh đốn
site /saɪt/, /saɪt/;  vị trí, địa điểm
stage /steɪdʒ/, /steɪdʒ/;  trình diễn, dàn cảnh

36. General travel; Du lịch tổng quan
agent /ˈeɪdʒənt/, /ˈeɪdʒənt/;  đại lý, đại diện
announcement /əˈnaʊnsmənt/, /əˈnaʊnsmənt/;  cáo thị, thông cáo
beverage /ˈbevərɪdʒ/, /ˈbevərɪdʒ/;  đồ uống, thức uống
blanket /ˈblæŋkɪt/, /ˈblæŋkɪt/;  mềm, chăn, lớp phủ
board /bɔːd/, /bɔːrd/;  lên tàu (máy bay, xe lửa)
claim /kleɪm/, /kleɪm/;  đòi hỏi, yêu cầu
delay /dɪˈleɪ/, /dɪˈleɪ/;  chậm trễ, trì hoãn, hoãn lại 
depart /dɪˈpɑːt/, /dɪˈpɑːrt/;  rời khỏi, khởi hành
embarkation /ˌembɑːˈkeɪʃn/, /ˌembɑːrˈkeɪʃn/;  lên tàu
itinerary /aɪˈtɪnərəri/, /aɪˈtɪnəreri/;  lịch trình
prohibit /prəˈhɪbɪt/, /prəˈhɪbɪt/;  ngăn cấm, ngăn chặn
valid /ˈvælɪd/, /ˈvælɪd/;  có giá trị, có hiệu lực

37. Airlines; Hàng không
deal with; giải quyết, đối phó, xử lý
destination /ˌdestɪˈneɪʃn/, /ˌdestɪˈneɪʃn/;  nơi đến, nơi tới, đích đến
distinguish /dɪˈstɪŋɡwɪʃ/, /dɪˈstɪŋɡwɪʃ/;  phân biệt, nhận ra, nhận biết
economize /ɪˈkɒnəmaɪz/, /ɪˈkɑːnəmaɪz/;  tiết kiệm
equivalent /ɪˈkwɪvələnt/, /ɪˈkwɪvələnt/;  tương đương
excursion /ɪkˈskɜːʃn/, /ɪkˈskɜːrʒn/;  chuyến thăm quan, cuộc đi tham quan, cuộc đi chơi
expense /ɪkˈspens/, /ɪkˈspens/;  phí tốn, chi phí
extend /ɪkˈstend/, /ɪkˈstend/;  gia hạn, mở rộng
prospective /prəˈspektɪv/, /prəˈspektɪv/;  về sau, sắp tới
situation /ˌsɪtʃuˈeɪʃn/, /ˌsɪtʃuˈeɪʃn/;  tình huống, hoàn cảnh
substantially /səbˈstænʃəli/, /səbˈstænʃəli/;  lớn lao, đáng kể
system /ˈsɪstəm/, /ˈsɪstəm/;  hệ thống

38. Trains; Tàu hỏa 
comprehensive /ˌkɒmprɪˈhensɪv/, /ˌkɑːmprɪˈhensɪv/;  bao gồm, bao hàm, toàn diện
deluxe /dɪˈlʌks/, /dɪˈlʌks/;  xa xỉ, xa hoa
directory /dəˈrektəri/, /dəˈrektəri/;  danh bạ
duration /djuˈreɪʃn/, /duˈreɪʃn/;  khoảng thời gian
entitle /ɪnˈtaɪtl/, /ɪnˈtaɪtl/;  cho quyền(làm gì)
fare /feə(r)/, /fer/;  cước phí, tiền xe, tiền vé
offset /ˈɒfset/, /ˈɔːfset/;  đền bù, bù đắp
operate /ˈɒpəreɪt/, /ˈɑːpəreɪt/;  hoạt động, thực hiện, tiến hành
punctually /ˈpʌŋktʃuəli/, /ˈpʌŋktʃuəli/;  đúng giờ, không chậm trễ
relatively /ˈrelətɪvli/, /ˈrelətɪvli/;  vừa phải, tương đối
remainder /rɪˈmeɪndə(r)/, /rɪˈmeɪndər/;  phần còn lại
remote /rɪˈməʊt/, /rɪˈmoʊt/;  xa, xa xôi, xa xăm

39. Hotels; Khách sạn
advanced /ˈvɑːnst/, /ˈvænst/;  sự tiến lên, tiến bộ
chain; chuỗi (khách sạn, nhà hàng... )
check in; làm thủ tục đăng ký
confirm /ˈfɜːm/, /ˈfɜːrm/;  xác nhận, chứng thực
expect /ɪkˈspekt/, /ɪkˈspekt/;  mong chờ, mong đợi
housekeeper /ˈhaʊskiːpə(r)/, /ˈhaʊskiːpər/;  quản gia, người coi nhà
notify /ˈnəʊtɪfaɪ/, /ˈnoʊtɪfaɪ/;  báo, thông báo, khai báo
preclude /prɪˈkluːd/, /prɪˈkluːd/;  loại trừ, ngăn ngừa
quote /kwəʊt/, /kwoʊt/;  trích dẫn
rate /reɪt/, /reɪt/;  mức, giá 
reservation /zəˈveɪʃn/, /zərˈveɪʃn/;  sự dành trước, sự đặt chỗ trước
service /ˈsɜːvɪs/, /ˈsɜːrvɪs/;  dịch vụ, sự phục vụ

40. Car rentals; Thuê xe hơi
busy /ˈbɪzi/, /ˈbɪzi/;  bận, bận rộn
coincide /ˌkəʊɪnˈsaɪd/, /ˌkoʊɪnˈsaɪd/;  trùng hợp, trùng nhau
confusion /kənˈfjuːʒn/, /kənˈfjuːʒn/;  sự nhầm lẫn
contact /ˈkɒntækt/, /ˈkɑːntækt/;  liên lạc với ai
disappoint /ˌdɪsəˈpɔɪnt/, /ˌdɪsəˈpɔɪnt/;  làm thất vọng
intend /ɪnˈtend/, /ɪnˈtend/;  định, dự định
license /ˈlaɪsns/, /ˈlaɪsns/;  giấy chứng nhận, bản quyền
nervously /ˈnɜːvəsli/, /ˈnɜːrvəsli/;  lo lắng, bồn chồn, căng thẳng
optional /ˈɒpʃənl/, /ˈɑːpʃənl/;  tùy ý, tùy chọn, không bắt buộc
tempt /tempt/, /tempt/;  cám dỗ, lôi cuốn
thrill /θrɪl/, /θrɪl/;  rung cảm, xúc động
tier /tɪə(r)/, /tɪr/;  dãy, tầng, lớp

41. Movies; Phim ảnh
attainment /əˈteɪnmənt/, /əˈteɪnmənt/;  đạt được, giành được
combine /kəmˈbaɪn/, /kəmˈbaɪn/;  kết hợp, phối hợp
continue /kənˈtɪnjuː/, /kənˈtɪnjuː/;  tiếp tục, tiếp diễn
description /dɪˈskrɪpʃn/, /dɪˈskrɪpʃn/;  sự diễn tả, mô tả
disperse /dɪˈspɜːs/, /dɪˈspɜːrs/;  giải tán, phân tán
entertainment /təˈteɪnmənt/, /tərˈteɪnmənt/;  sự giải trí, tiêu khiển
influence /ˈɪnfluəns/, /ˈɪnfluəns/;  ảnh hưởng đến, tác động đến
range /reɪndʒ/, /reɪndʒ/;  phạm vi, trình độ
release /rɪˈliːs/, /rɪˈliːs/;  công bố, phát hành
representation /ˌreprɪzenˈteɪʃn/, /ˌreprɪzenˈteɪʃn/;  đại diện, thay mặt
separately /ˈseprətli/, /ˈseprətli/;  tách rời, riêng rẽ
successive /səkˈsesɪv/, /səkˈsesɪv/;  kế tiếp, liên tiếp, lần lượt

42. Theater; Rạp hát
action /ˈækʃn/, /ˈækʃn/;  diễn biến (của vở kịch)
approach /əˈprəʊtʃ/, /əˈproʊtʃ/;  lại gần, tiếp cận
audience /ˈɔːdiəns/, /ˈɔːdiəns/;  khán giả, thính giả, độc giả
creative /kriˈeɪtɪv/, /kriˈeɪtɪv/;  sáng tạo
dialogue /ˈdaɪəlɒɡ/, /lɔːɡ/;  cuộc đối thoại, giai thoại
element /ˈelɪmənt/, /ˈelɪmənt/;  yếu tố, nguyên tố
experience /ˈspɪəriəns/, /ˈspɪriəns/;  kinh nghiệm, từng trải
occur /əˈkɜː(r)/, /əˈkɜːr/;  xuất hiện, xảy ra, xảy đến
perform /pəˈfɔːm/, /pərˈfɔːrm/;  biểu diễn, trình diễn
rehearse /rɪˈhɜːs/, /rɪˈhɜːrs/;  diễn tập
review /rɪˈvjuː/, /rɪˈvjuː/;  sự phê bình, lời phê bình
sell out; hết vé

43. Music; Âm nhạc
available /əˈveɪləbl/, /əˈveɪləbl/;  sẵn có, sẵn sàng
broaden /ˈbrɔːdn/, /ˈbrɔːdn/;  mở rộng, nới rộng
category /ɡəri/, /ɡɔːri/;  loại, hạng
disparate /ˈdɪspərət/, /ˈdɪspərət/;  khác biệt, khác loại, khác hẳn nhau
divide /dɪˈvaɪd/, /dɪˈvaɪd/;  chia ra, phân chia
favor; chiếu cố, thiên vị
instinct /ˈɪnstɪŋkt/, /ˈɪnstɪŋkt/;  bản năng
prefer /prɪˈfɜː(r)/, /prɪˈfɜːr/;  thích hơn, ưa hơn
reason /ˈriːzn/, /ˈriːzn/;  lý do, lý lẽ
relaxation /ˌriːlækˈseɪʃn/, /ˌriːlækˈseɪʃn/;  thư giãn, giải trí
taste /teɪst/, /teɪst/;  vị giác, thưởng thức
urge /ɜːdʒ/, /ɜːrdʒ/;  thúc giục

44. Museums; Bảo tàng
acquire /əˈkwaɪə(r)/, /əˈkwaɪər/;  thu được, giành được
admire /ədˈmaɪə(r)/, /ədˈmaɪər/;  khâm phục, thán phục
collection /kəˈlekʃn/, /kəˈlekʃn/;  sưu tầm, thu thập
criticism /ˈkrɪtɪsɪzəm/, /ˈkrɪtɪsɪzəm/;  lời phê bình
express /ɪkˈspres/, /ɪkˈspres/;  bày tỏ
fashion /ˈfæʃn/, /ˈfæʃn/;  thời trang, mốt
leisure /ˈleʒə(r)/, /ˈliːʒər/;  thời gian nhàn rỗi
respond /rɪˈspɒnd/, /rɪˈspɑːnd/;  hồi âm, phúc đáp
schedule /ˈʃedjuːl/, /ˈskedʒuːl/;  thời gian biểu, lịch trình
significant /sɪɡˈnɪfɪkənt/, /sɪɡˈnɪfɪkənt/;  quan trọng, đầy ý nghĩa
specialize /ˈspeʃəlaɪz/, /ˈspeʃəlaɪz/;  chuyên môn hóa
spectrum /ˈspektrəm/, /ˈspektrəm/;  sự phân bổ theo tính chất, số lượng, hành vi

45. Media; Truyền thông
assignment /əˈsaɪnmənt/, /əˈsaɪnmənt/;  nhiệm vụ, công việc
choose /tʃuːz/, /tʃuːz/;  chọn, chọn lựa
constantly /ˈkɒnstəntli/, /ˈkɑːnstəntli/;  trung thành, chung thủy, liên tục
constitute /ˈkɒnstɪtjuːt/, /ˈkɑːnstɪtuːt/;  tạo thành, thành lập, thiết lập
decision /dɪˈsɪʒn/, /dɪˈsɪʒn/;  sự quyết định
disseminate /dɪˈsemɪneɪt/, /dɪˈsemɪneɪt/;  truyền bá phổ biến
impact /ˈɪmpækt/, /ˈɪmpækt/;  tác động mạnh, ảnh hưởng mạnh
investigate /ɪnˈvestɪɡeɪt/, /ɪnˈvestɪɡeɪt/;  điều tra, nghiên cứu
link /lɪŋk/, /lɪŋk/;  nối, liên kết
subscribe /səbˈskraɪb/, /səbˈskraɪb/;  đặt mua báo, tạp chí 
thorough /ˈθʌrə/, /ˈθɜːroʊ/;  kỹ lưỡng, thấu đáo

45. Doctor's office; Văn phòng bác sĩ
annually /ˈænjuəli/, /ˈænjuəli/;  hàng năm, từng nằm, thường niên
appointment /əˈpɔɪntmənt/, /əˈpɔɪntmənt/;  cuộc hẹn, sự hẹn gặp
assess /əˈses/, /əˈses/;  ước định, định giá
diagnose /ˈdaɪəɡnəʊz/, /ˌdaɪəɡˈnəʊz/;  chẩn đoán
effective /ɪˈfektɪv/, /ɪˈfektɪv/;  có hiệu quả
instrument /ˈɪnstrəmənt/, /ˈɪnstrəmənt/;  dụng cụ, công cụ, thiết bị đo đạc
manage /ˈmænɪdʒ/, /ˈmænɪdʒ/;  quản lý, trông nom, điều khiển
prevent /prɪˈvent/, /prɪˈvent/;  ngăn ngừa, phòng ngừa
recommendation /ˌrekəmenˈdeɪʃn/, /ˌrekəmenˈdeɪʃn/;  sự giới thiệu, tiến cử
record /ˈrekɔːd/, /ˈrekərd/;  ghi lại
refer /rɪˈfɜː(r)/, /rɪˈfɜːr/;  tham khảo, xem
serious /ˈsɪəriəs/, /ˈsɪriəs/;  nghiêm trọng

47. Dentist's office; Phòng khám răng
aware /əˈweə(r)/, /əˈwer/;  biết, nhận thấy, nhận thức thấy
catch up; làm kịp, kịp thời gian
distraction /dɪˈstrækʃn/, /dɪˈstrækʃn/;  sự sao nhãng
encouragement /ˈkʌrɪdʒmənt/, /ˈkɜːrɪdʒmənt/;  khuyến khích, cổ vũ
evident /ˈevɪdənt/, /ˈevɪdənt/;  rõ ràng, hiển nhiên, rành rành
habit /ˈhæbɪt/, /ˈhæbɪt/;  thói quen, tập quán
illuminate /ɪˈluːmɪneɪt/, /ɪˈluːmɪneɪt/;  chiếu sáng, rọi sáng
irritate /ˈɪrɪteɪt/, /ˈɪrɪteɪt/;  kích ứng, kích thích
overview /ˈəʊvəvjuː/, /ˈoʊvərvjuː/;  chung, tổng quan, tổng quát
position /pəˈzɪʃn/, /pəˈzɪʃn/;  vị trí, chỗ, thế
regularly /ləli/, /lərli/;  đều đặn, thường xuyên
restore /rɪˈstɔː(r)/, /rɪˈstɔːr/;  phục hồi, khôi phục

48. Health insurance; Bảo vệ sức khỏe
allow /əˈlaʊ/, /əˈlaʊ/;  cho phép
alternative /ˈtɜːnətɪv/, /ˈtɜːrnətɪv/;  thay phiên, luân phiên
aspect /ˈæspekt/, /ˈæspekt/;  bề ngoài, diện mạo
concern /ˈsɜːn/, /ˈsɜːrn/;  lo lắng, lo ngại, quan tâm
emphasize /ˈemfəsaɪz/, /ˈemfəsaɪz/;  nhấn mạnh, làm nổi bật
incur /ɪnˈkɜː(r)/, /ɪnˈkɜːr/;  gánh chịu, chịu lấy
personnel /ˌpɜːsəˈnel/, /ˌpɜːrsəˈnel/;  cán bộ, nhân viên
policy /ˈpɒləsi/, /ˈpɑːləsi/;  chính sách, đường lối
portion /ˈpɔːʃn/, /ˈpɔːrʃn/;  phần, phần chia
regardless /ˈɡɑːdləs/, /ˈɡɑːrdləs/;  không đếm xỉa tới, bất chấp
salary /ˈsæləri/, /ˈsæləri/;  tiền lương
suit /suːt/, /sjuːt/;  làm cho phù hợp, thích hợp

49. Hospitals; Bệnh viện
admit /ədˈmɪt/, /ədˈmɪt/;  cho vào, nhận vào
authorize /ˈɔːθəraɪz/, /ˈɔːθəraɪz/;  cho quyền, ủy quyền, cho phép
designate /ˈdezɪɡneɪt/, /ˈdezɪɡneɪt/;  chỉ rõ, định rõ
escort /ˈeskɔːt/, /ˈeskɔːrt/;  vệ sĩ, đội hộ tống
identify /aɪˈdentɪfaɪ/, /aɪˈdentɪfaɪ/;  nhận dạng, nhận biết
mission /ˈmɪʃn/, /ˈmɪʃn/;  sứ mệnh, nhiệm vụ
permit /pəˈmɪt/, /pərˈmɪt/;  giấy phép, sự cho phép
pertinent /ˈpɜːtɪnənt/, /ˈpɜːrtnənt/;  thích hợp, thích đáng
procedure /prəˈsiːdʒə(r)/, /prəˈsiːdʒər/;  thủ tục, các bước tiến hành
result /rɪˈzʌlt/, /rɪˈzʌlt/;  kết quả, đáp số
statement /ˈsteɪtmənt/, /ˈsteɪtmənt/;  sự trình bày
usually /ˈjuːʒuəli/, /ˈjuːʒuəli/;  thông thường, thường lệ

50. Pharmacy; Nhà thuốc
consult /kənˈsʌlt/, /kənˈsʌlt/;  hỏi ý kiến, tham khảo
control /ˈtrəʊl/, /ˈtroʊl/;  kiểm soát, điều khiển, chỉ huy
convenient /kənˈviːniənt/, /kənˈviːniənt/;  thuận lợi, thuận tiện
detect /dɪˈtekt/, /dɪˈtekt/;  phát hiện ra, khám phá ra
factor /ˈfæktə(r)/, /ˈfæktər/;  nhân tố
interaction /ˈækʃn/, /ˈækʃn/;  sự tương tác, ảnh hưởng lẫn nhau
limit /ˈlɪmɪt/, /ˈlɪmɪt/;  giới hạn, hạn định, ranh giới
monitor /ˈmɒnɪtə(r)/, /ˈmɑːnɪtər/;  màn hình vi tính, lớp trưởng
potential /pəˈtenʃl/, /pəˈtenʃl/;  tiềm tàng, tiềm năng
sample /ˈsɑːmpl/, /ˈsæmpl/;  mẫu, hàng mẫu
sense /sens/, /sens/;  khả năng phán đoán
volunteer /ˌvɒlənˈtɪə(r)/, /ˌvɑːlənˈtɪr/;  tình nguyện viên, người xung phong
